0.05500000	0.40152800
0.06021280	0.37815900
0.06542550	0.36894500
0.07063830	0.35913600
0.07585110	0.35048500
0.08106380	0.34884900
0.08627660	0.35257500
0.09148940	0.34747100
0.09670210	0.32010900
0.10191500	0.32615300
0.10712800	0.31510600
0.11234000	0.30142900
0.11755300	0.29563600
0.12276600	0.27042300
0.12797900	0.28170200
0.13319100	0.24861600
0.13840400	0.25031100
0.14361700	0.24052500
0.14883000	0.23396200
0.15404300	0.22139000
0.15925500	0.23043300
0.16446800	0.21446900
0.16968100	0.19643200
0.17489400	0.17449400
0.18010600	0.17143600
0.18531900	0.18403700
0.19053200	0.15224400
0.19574500	0.15455000
0.20095700	0.16090000
0.20617000	0.13766600
0.21138300	0.12367500
0.21659600	0.12799000
0.22180900	0.11693400
0.22702100	0.10498600
0.23223400	0.10457400
0.23744700	0.10105200
0.24266000	0.08848200
0.24787200	0.09957540
0.25308500	0.08164530
0.25829800	0.07761940
0.26351100	0.05593210
0.26872300	0.06458860
0.27393600	0.06547260
0.27914900	0.05816240
0.28436200	0.04394340
0.28957400	0.05932520
0.29478700	0.04400920
0.30000000	0.03132530
